2026-04-16 15:59:06 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/tokenizer_config.json "HTTP/1.1 200 OK"
2026-04-16 15:59:06 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/climatebert/distilroberta-base-climate-f/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-04-16 15:59:06 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/climatebert/distilroberta-base-climate-f/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-04-16 15:59:07 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/None/resolve/main/config.json "HTTP/1.1 401 Unauthorized"
2026-04-16 16:00:02 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 16:00:03 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/config.json "HTTP/1.1 200 OK"
2026-04-16 16:00:03 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 16:00:03 | WARNING  | huggingface_hub.utils._http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-04-16 16:00:03 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/tokenizer_config.json "HTTP/1.1 200 OK"
2026-04-16 16:00:03 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/climatebert/distilroberta-base-climate-f/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-04-16 16:00:04 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/climatebert/distilroberta-base-climate-f/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-04-16 16:01:16 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 16:01:16 | WARNING  | huggingface_hub.utils._http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-04-16 16:01:16 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/config.json "HTTP/1.1 200 OK"
2026-04-16 16:01:16 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 16:01:16 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/tokenizer_config.json "HTTP/1.1 200 OK"
